ID	Deutsch	
$ABOUT_GESTALT_OS	Über Gestalt_BS	
$GESTALT_MANUFACTURING	Gestaltaufbau	
$CORPORATION_R	AG (R)	
$GESTALT_OS_VERSION	Gestalt_BS 3.14 ("Beton")	
$COPYRIGHT_GMC_TRANSLATE_ACRONYM_PLEASE	(R) GAB GmbH 2019	
$CREDITS_THANKS_TO	Dank für Testing und Feedback zu sagen zu : <NAMELIST>	
$CREDITS_LEVEL_DESIGN	Level Design: Lucas Le Slo ( http://le-slo.itch.io ) - Stephen Lavelle	
$CREDITS_TRANSLATION	Übersetzungen: <NAMELIST>	
$CREDITS_THE_REST	Der Rest: Stephen Lavelle	
$BUTTON_OK	OK	
$TOOLTIP_CLEAR_PAGE	Blatt leeren (N)	
$TOOLTIP_UNDO	Rückgängig (Z)	
$TOOLTIP_REDO	Wiederholen (Y)	
$TOOLTIP_FULLSCREEN	Vollbildmodus	
$TOOLTIP_LANGUAGE_TRANSLATE_LANGUAGE_NAME_ALSO	Sprache: Deutsch	
$TOOLTIP_ABOUT	Über diese Anwendung	
$TOOLS	Werkzeuge	
$WORKBENCH	Werkbank	
$GOAL_X_OF_Y	Ziel (<X> von <Y>)	
$SOLVED	Gelöst	
$SOLVE	Lösen	
$CONGRATS	Herzlichen Glückwunsch!	
$CONGRATS_SENTENCE	Herzlichen Glückwunsch! Du hast alle Levels gelöst!	
$WE_ARE_HAPPY	Wir freuen uns, dass du unser Spiel gespielt hast. Hoffentlich hat es dir gut gefallen :)	
$TEXT_RESET	Zurücksetzen	
$TOOLTIP_RESET	Das Spiel zurückzusetzen.  All Daten werden gelöscht.	