ID	Chinese	
$ABOUT_GESTALT_OS	关于 形態_操作系统	
$GESTALT_MANUFACTURING	形態制造公司
$CORPORATION_R	 	
$GESTALT_OS_VERSION	形態_操作系统 3.14 ("混凝土")	
$COPYRIGHT_GMC_TRANSLATE_ACRONYM_PLEASE	版权(C) 2019 形態法人	
$CREDITS_THANKS_TO	Thanks for testing and feedback to : <NAMELIST>	
$CREDITS_LEVEL_DESIGN	游戏设计：Lucas Le Slo ( http://le-slo.itch.io ) - Stephen Lavelle	
$CREDITS_TRANSLATION	翻譯：<NAMELIST>	
$CREDITS_THE_REST	剩餘：Stephen Lavelle ( http://www.increpare.com ).	
$BUTTON_OK	确定	
$TOOLTIP_CLEAR_PAGE	清除 (N)	
$TOOLTIP_UNDO	撤消 (Z)	
$TOOLTIP_REDO	重做 (Y)	
$TOOLTIP_FULLSCREEN	全屏	
$TOOLTIP_LANGUAGE_TRANSLATE_LANGUAGE_NAME_ALSO	語言：中文	
$TOOLTIP_ABOUT	关于 形態_操作系统
$TOOLS	工具	
$WORKBENCH	工作台	
$GOAL_X_OF_Y	目标 (<X>/<Y>)	
$SOLVED	解决了	
$SOLVE	解决	
$CONGRATS	祝賀	
$CONGRATS_SENTENCE	祝賀, you solved all of the levels!	
$WE_ARE_HAPPY	Thank you so much for playing the game. We hope you had a good time doing so :)	